claim_amount,days_to_report,num_prior_claims,policy_age_years,claim_type,is_fraud
20945.87,2,0,16.55,auto,1
9128.59,3,0,18.19,health,0
665.73,3,1,15.05,home,0
12681.54,3,0,6.01,auto,0
10197.12,1,1,12.21,auto,0
3657.76,3,0,3.26,auto,0
4473.57,2,1,2.78,auto,0
2545.82,1,0,12.95,auto,0
281.59,1,1,17.1,home,0
2041.32,1,2,1.81,health,0
8119.04,4,1,2.57,health,0
23.21,3,1,11.53,auto,0
2028.57,2,1,4.76,health,0
2538.89,2,3,12.43,home,0
3854.42,3,0,4.68,auto,0
12619.63,2,2,2.77,health,0
2125.89,4,3,11.14,auto,0
2130.53,2,1,17.31,auto,0
6687.54,3,2,13.86,auto,0
3009.39,5,2,16.47,home,0
1271.91,5,2,5.69,auto,0
3011.41,2,1,17.78,health,0
759.1,1,2,7.85,home,0
970.27,1,1,17.12,home,0
3449.44,4,0,9.69,auto,0
2714.38,1,1,5.72,health,0
12316.46,4,0,5.58,home,0
2250.17,1,0,11.57,home,0
4344.51,5,1,2.04,health,0
5001.95,1,3,18.64,auto,0
65.9,1,1,5.79,auto,0
5446.34,2,2,7.04,home,0
980.29,4,0,5.05,home,0
16229.99,0,0,0.56,auto,1
804.73,4,0,14.0,auto,0
2677.51,0,2,12.02,auto,0
446.07,1,3,16.29,life,0
28840.41,3,1,1.3,auto,1
3487.73,1,1,18.61,auto,0
4524.1,4,1,6.95,health,0
347.16,3,2,18.3,home,0
6930.68,2,1,2.59,home,0
1178.01,4,0,15.01,home,0
11416.57,7,1,11.8,home,0
1147.94,4,0,7.48,home,0
1057.85,4,2,2.04,auto,0
186.17,3,1,12.29,health,0
3193.93,3,0,1.02,auto,0
4160.22,2,1,10.28,auto,0
339.83,2,1,12.28,auto,0
7470.01,3,3,14.78,health,0
3019.17,3,2,19.83,home,0
3715.79,2,1,5.57,health,0
2905.91,3,1,6.79,home,0
2560.49,3,0,7.15,auto,0
4100.82,3,1,14.77,auto,0
843.52,4,1,18.67,home,0
1004.03,3,1,19.5,auto,0
9894.75,8,0,18.94,auto,0
14604.56,3,1,17.65,health,0
2336.51,2,2,19.82,health,0
1578.66,4,1,7.83,auto,0
5164.12,0,0,18.99,health,0
2627.45,4,0,15.34,home,0
128.57,2,1,3.78,auto,0
848.92,1,2,1.39,auto,0
6293.42,2,2,4.68,auto,0
5378.25,1,0,15.69,auto,0
137.35,1,1,12.82,auto,0
1254.96,4,1,4.87,life,0
1313.81,3,0,14.97,home,0
5572.07,2,1,3.26,health,0
99.54,3,1,16.53,auto,0
549.68,3,2,15.99,auto,0
8045.09,3,0,19.47,health,0
983.39,5,1,3.43,home,0
5288.5,4,1,18.18,health,0
1360.24,1,0,7.15,auto,0
523.7,2,0,8.61,life,0
1393.1,3,2,9.63,home,0
6405.47,3,2,12.72,auto,0
9679.18,5,0,19.9,home,0
8866.25,2,0,12.2,health,0
2530.71,3,3,18.57,auto,0
5514.38,4,2,5.47,life,0
1146.97,2,0,8.27,home,0
1734.67,2,2,10.34,auto,0
11332.99,1,2,6.8,auto,0
65.44,3,2,19.55,auto,0
446.94,4,0,14.65,auto,0
1165.25,6,1,9.84,home,0
134.45,2,2,15.15,health,0
1001.02,5,1,9.62,home,0
4373.84,4,0,0.84,home,0
2735.93,7,2,11.09,auto,0
11159.32,4,1,12.69,life,0
8503.48,3,0,19.63,auto,0
2091.36,2,0,1.3,auto,0
1501.63,5,1,10.49,home,0
2387.7,6,0,2.41,health,0
4461.59,2,1,3.41,life,0
1560.31,2,0,12.4,life,0
4892.81,2,1,5.02,life,0
2633.18,1,1,15.11,home,0
4015.34,4,1,10.53,auto,0
2864.63,5,3,4.76,home,0
1744.0,5,1,10.13,auto,0
14826.34,5,2,0.52,auto,0
7211.27,3,3,17.32,auto,0
754.77,5,0,0.75,auto,0
10142.52,3,0,0.64,home,0
3341.6,0,1,12.42,auto,0
11247.7,2,1,19.48,auto,0
8043.57,2,0,17.19,health,0
2768.78,3,2,5.41,home,0
113.63,3,1,4.34,life,0
1564.5,4,0,12.71,home,0
3900.44,4,3,16.54,auto,0
5018.49,3,1,7.56,auto,0
1491.27,2,0,8.93,home,0
750.37,2,0,2.75,health,0
9006.94,4,1,3.48,auto,0
20803.12,3,0,11.58,health,0
3729.47,0,1,2.5,home,0
941.77,4,0,4.44,auto,0
1589.38,3,0,5.08,home,0
92.81,2,0,9.16,home,0
12284.44,1,2,1.39,auto,0
626.41,3,0,10.25,auto,0
4296.2,3,2,18.61,health,0
1601.41,2,1,0.98,home,0
4039.18,1,2,12.8,auto,0
5269.44,3,1,16.8,life,0
8852.2,5,0,6.59,auto,0
1156.01,4,2,3.06,auto,0
55.28,3,0,1.35,auto,0
736.04,4,1,13.06,health,0
11513.86,6,2,11.27,home,0
10353.01,4,3,4.97,home,0
4549.22,2,1,16.72,life,0
4587.92,2,0,14.84,health,0
5468.67,2,0,5.89,auto,0
964.11,2,1,15.19,health,0
12291.05,2,2,5.28,health,0
2713.05,2,3,13.67,auto,0
2415.55,2,2,2.81,auto,0
3658.58,1,0,14.0,health,0
240.52,2,2,5.16,auto,0
909.31,1,0,11.66,auto,0
6697.7,4,1,3.86,health,0
432.14,1,1,14.66,health,0
4621.01,4,1,1.69,auto,0
1407.5,2,4,3.73,home,0
2465.71,1,0,4.09,home,0
1703.26,4,1,1.31,home,0
2197.74,4,1,15.03,life,0
6347.82,4,2,19.63,home,0
1762.86,2,1,15.68,home,0
4178.22,2,1,17.28,life,0
3231.8,2,0,0.62,auto,0
5448.33,2,0,2.8,auto,0
13809.61,2,2,11.4,home,0
6594.53,5,3,19.57,auto,0
1209.98,1,1,13.38,auto,0
158.4,1,0,7.8,auto,0
1520.85,5,1,3.35,home,0
4520.3,3,0,3.48,health,0
263.98,2,0,7.57,auto,0
3429.53,4,1,14.42,home,0
4542.14,2,0,1.12,auto,0
2034.16,3,1,17.12,home,0
7368.25,3,2,18.86,home,0
563.59,4,1,17.83,life,0
390.55,4,2,18.3,auto,0
6513.24,2,1,0.8,home,0
3420.85,2,1,19.57,auto,0
5830.21,1,0,7.64,home,0
2853.12,6,1,17.45,health,0
1414.48,4,1,4.14,life,0
8549.12,3,1,9.21,auto,0
8032.61,2,1,1.36,health,0
5932.24,2,0,1.28,auto,0
1588.27,2,1,18.89,auto,0
4460.8,5,2,16.31,health,0
2239.05,1,1,10.83,auto,0
480.25,3,1,10.75,auto,0
12463.5,1,1,15.1,auto,0
735.65,1,0,7.16,auto,0
15002.45,7,1,15.36,auto,1
2953.01,6,2,9.96,health,0
1023.65,1,1,12.94,home,0
3903.35,5,0,19.31,home,0
10315.71,3,1,9.69,auto,0
6588.04,2,0,8.66,home,0
8213.97,3,5,18.16,health,0
5376.19,3,1,18.1,life,0
5892.77,4,0,19.85,life,0
9458.86,6,2,11.24,home,0
1436.2,3,0,7.21,life,0
3361.09,3,0,5.19,auto,0
1250.07,5,2,1.16,auto,0
21977.79,0,1,14.67,health,0
14417.32,5,5,5.05,auto,1
201.13,2,2,12.33,auto,0
6113.66,1,3,18.37,life,0
12967.92,4,0,19.03,health,0
995.76,4,0,0.59,auto,0
4196.01,5,1,6.68,health,0
12354.33,2,1,16.83,health,0
172.68,2,3,10.96,life,0
5977.05,4,2,16.25,home,0
1764.47,4,0,17.14,health,0
12911.24,3,3,9.13,health,0
17712.35,1,1,7.5,home,0
14435.87,1,0,9.38,home,0
3214.31,1,1,13.23,home,0
9904.05,1,1,7.66,home,0
9307.14,4,3,15.61,life,0
1921.7,3,1,18.13,auto,0
8827.99,4,0,6.01,auto,0
188.55,3,1,19.32,health,0
4535.04,3,4,12.64,auto,0
1306.88,3,1,17.62,home,0
642.39,0,0,2.53,auto,0
400.38,6,0,5.4,home,0
5958.39,4,3,6.76,life,0
2076.63,1,1,6.41,health,0
6450.68,6,1,3.85,auto,0
337.95,1,0,17.43,life,0
1893.8,3,4,8.66,auto,0
3877.12,6,0,19.28,home,0
7820.49,3,3,11.88,home,0
1919.15,1,1,3.2,life,0
4916.05,4,1,11.15,auto,0
10856.81,1,3,19.87,home,0
4783.78,4,1,11.52,auto,0
1326.08,5,0,0.54,auto,0
123.52,1,1,18.7,life,0
10204.91,2,1,5.08,home,0
107.49,5,1,13.93,health,0
10385.29,9,1,10.54,auto,0
3763.82,5,1,6.85,health,0
13989.96,4,0,6.01,health,0
8016.86,4,2,18.61,home,0
30910.97,4,2,18.28,home,0
2159.39,3,0,10.51,life,0
7287.63,2,1,5.54,health,0
2570.25,2,0,2.5,home,0
3268.44,7,2,3.55,home,0
4937.66,4,2,10.68,health,0
10344.57,3,1,6.5,auto,0
20701.99,1,0,1.32,home,0
7310.99,1,0,9.38,life,0
2704.42,2,0,15.05,life,0
2735.35,2,0,17.89,health,0
6689.09,4,0,11.91,auto,0
1364.15,3,2,14.6,life,0
585.33,4,1,7.6,home,0
2189.6,6,0,10.18,auto,0
1693.05,2,0,14.73,home,0
1757.07,5,2,14.69,health,0
1330.31,1,1,8.78,auto,0
215.02,4,0,11.1,life,0
90.18,2,1,18.52,life,0
21999.89,5,1,12.82,auto,1
2791.1,2,2,13.03,life,0
2425.19,4,1,15.8,life,0
5691.66,2,0,2.75,auto,0
1231.13,6,1,10.7,auto,0
14974.78,2,0,19.21,auto,0
7716.96,0,0,7.55,auto,0
468.32,2,1,6.25,health,0
2702.82,3,0,12.22,auto,0
10564.71,2,1,4.81,life,0
14477.81,4,1,11.34,life,0
3149.94,2,2,3.54,auto,0
4751.97,2,0,11.81,home,0
913.81,4,2,12.25,home,0
23647.22,1,0,8.66,home,0
1317.69,1,0,7.96,auto,0
14300.05,4,2,5.29,auto,0
5244.07,3,0,6.95,auto,0
4679.11,8,0,10.22,auto,0
3594.26,1,0,5.33,life,0
1311.18,4,2,15.77,auto,0
971.13,2,1,14.33,auto,0
1245.42,2,2,5.75,home,0
1031.67,3,1,2.4,auto,0
7561.2,4,2,0.5,auto,0
2154.88,3,3,12.14,home,0
297.92,4,0,4.62,home,0
17385.42,5,2,0.75,auto,1
10761.6,5,1,7.5,home,0
13138.27,2,0,19.26,home,0
26400.25,5,2,13.95,home,0
955.17,3,7,17.23,health,0
2522.91,5,0,3.32,auto,0
7099.02,3,0,1.93,home,0
5953.98,6,0,0.72,health,0
835.56,1,0,19.14,life,0
8459.57,1,2,6.35,health,0
1270.85,4,2,9.46,home,0
1266.84,3,1,8.19,home,0
3849.86,7,1,14.74,home,0
4493.97,2,2,6.54,health,0
4338.53,0,1,10.94,health,0
479.73,2,3,19.91,auto,1
10496.62,3,0,9.16,auto,0
1543.51,2,1,11.25,auto,0
693.52,3,2,10.3,auto,0
10979.79,3,0,16.16,life,0
15578.38,1,2,5.7,auto,1
9907.13,4,1,3.82,auto,0
8290.94,4,0,15.2,health,0
5324.56,4,0,8.6,auto,0
4002.07,3,1,18.32,auto,0
455.02,2,2,13.06,home,0
2625.07,2,0,11.5,home,0
2331.56,2,2,1.87,auto,0
1503.86,0,0,14.74,home,0
6426.28,4,1,13.88,auto,0
3424.66,2,0,12.98,home,0
422.6,4,0,5.72,home,0
1243.48,2,0,18.96,health,0
5748.35,7,2,6.77,home,0
395.92,5,3,3.47,home,0
9525.99,3,1,19.75,home,0
3417.44,1,1,15.05,auto,0
3275.28,4,0,8.59,auto,0
4487.44,1,0,18.75,health,0
8705.74,2,1,2.28,auto,0
2137.09,2,1,2.21,home,0
5666.27,4,1,13.81,auto,0
4170.47,5,0,3.97,health,0
1553.24,2,1,18.38,life,0
10544.56,2,2,16.89,auto,0
7983.25,2,0,6.47,home,0
5371.33,3,2,17.83,home,0
9505.03,4,1,1.34,health,0
10098.1,1,1,11.2,auto,0
6161.23,4,1,18.74,home,0
9070.43,5,1,17.18,home,0
5977.9,1,1,7.44,auto,0
5699.37,2,0,4.07,auto,0
4819.68,3,2,4.61,auto,0
6986.1,1,0,10.53,health,0
863.47,3,0,12.14,auto,0
10637.73,4,0,1.14,home,0
10272.52,4,1,8.56,auto,0
148.42,3,1,16.69,auto,0
8738.24,5,1,9.16,home,0
689.82,1,2,3.8,health,0
2040.73,4,1,19.12,home,0
6803.29,2,1,5.69,health,0
876.29,1,1,16.07,home,0
8517.84,4,0,4.28,home,0
8922.95,3,2,8.75,home,0
3540.98,2,0,10.06,life,0
32.03,2,0,10.26,home,0
1691.64,1,1,10.57,home,0
4797.65,2,1,4.89,home,0
19865.82,4,0,10.56,auto,1
4995.83,4,4,9.89,auto,0
1504.2,6,2,4.57,auto,0
5025.69,1,1,19.77,health,0
3882.49,4,1,17.38,auto,0
7567.13,0,0,17.81,auto,0
565.74,2,0,13.87,life,0
7157.04,2,0,3.62,home,0
3896.43,2,0,11.58,auto,0
16483.11,1,2,16.52,health,0
2091.78,3,2,1.26,auto,0
5006.82,5,0,10.17,home,0
13443.3,1,1,8.22,home,0
540.76,2,0,4.64,auto,0
13841.27,5,0,7.88,auto,0
5821.93,2,2,19.68,auto,0
351.24,2,0,14.6,auto,0
1790.26,4,2,6.34,auto,0
6157.95,2,2,12.3,life,0
348.63,2,1,5.31,home,0
4363.41,3,1,12.41,health,0
2122.35,4,0,17.98,home,0
4849.98,4,2,11.36,home,0
234.11,4,0,14.8,auto,0
10260.56,5,0,9.34,auto,0
18150.97,2,2,10.72,home,0
17349.18,0,2,14.05,health,0
6924.51,3,1,16.34,auto,0
696.81,3,1,13.36,home,0
7099.53,2,0,19.56,auto,0
124.47,3,0,16.49,home,0
111.86,5,1,15.65,home,0
1954.93,1,0,16.98,health,0
3353.44,2,3,5.98,auto,0
7357.24,4,1,8.92,auto,0
5748.93,2,0,11.51,home,0
2952.07,0,1,9.52,life,0
1598.46,5,0,17.03,auto,0
29257.64,0,2,1.03,home,0
2777.21,2,0,4.58,home,0
3001.81,3,0,17.69,auto,0
893.38,2,1,1.65,health,0
7919.08,6,1,4.93,auto,0
5915.66,5,1,7.35,health,0
1247.24,3,1,15.14,home,0
429.87,4,1,11.42,home,0
5704.98,5,1,19.11,auto,0
5313.98,2,2,4.94,health,0
1595.93,2,1,17.51,auto,0
15065.77,4,0,6.02,home,0
818.82,4,2,5.29,health,0
2831.12,7,1,10.22,home,0
14377.84,6,1,1.89,auto,0
2721.29,4,1,7.99,life,0
5087.83,3,2,7.44,auto,0
2534.12,5,1,3.62,life,0
1602.51,2,0,17.29,auto,0
20668.85,6,0,8.02,auto,0
2632.52,2,1,19.65,auto,0
11226.26,6,2,18.04,auto,0
1306.53,3,1,4.3,auto,0
1198.3,2,1,10.35,auto,0
158.15,5,2,12.24,life,0
5272.98,3,1,16.47,health,0
2298.5,2,0,17.77,auto,0
9988.69,2,2,12.67,auto,0
3204.77,1,0,1.19,home,0
17240.41,4,1,9.88,auto,1
1026.06,2,2,17.75,health,0
10148.43,3,0,14.42,home,0
7493.89,2,0,17.47,home,0
7368.46,3,1,13.64,home,0
9314.66,2,0,1.36,home,0
7156.96,0,1,19.38,auto,0
4920.44,2,1,18.4,auto,0
703.47,3,2,2.97,auto,0
165.33,1,1,2.7,home,0
12681.92,2,4,11.01,home,0
4794.04,3,1,15.26,health,0
7961.36,1,0,7.95,auto,0
3284.29,4,2,3.16,home,0
623.9,1,0,10.46,auto,0
668.72,5,2,7.08,home,0
5784.89,1,0,7.36,health,0
2813.28,1,0,13.08,health,0
1119.0,5,0,17.77,life,0
3382.38,0,2,11.39,life,0
331.82,2,2,13.91,health,0
4361.03,2,2,13.37,auto,0
1566.66,4,1,11.25,auto,0
7986.54,2,0,6.56,home,0
1857.94,4,0,7.87,life,0
3036.87,5,0,6.66,home,0
58.44,2,0,18.39,auto,0
376.03,3,0,16.62,life,0
2491.96,4,0,11.8,auto,0
3269.04,5,2,18.29,home,0
4581.71,2,0,17.78,health,0
1724.17,4,1,18.59,health,0
5936.92,4,1,4.82,health,0
9834.94,2,0,14.49,health,0
7567.25,3,0,12.38,home,0
202.13,0,0,14.81,home,0
3274.51,7,0,5.64,home,0
554.27,0,1,14.05,health,0
1385.66,0,2,8.49,auto,0
21585.91,1,0,16.76,auto,0
768.64,1,2,16.01,auto,0
3454.63,0,1,4.62,home,0
4813.71,1,0,4.09,auto,0
6061.12,5,0,14.5,health,0
4100.91,0,0,11.23,auto,0
49.09,6,1,11.37,auto,0
1976.05,3,1,15.17,auto,0
3646.07,4,1,17.17,home,0
459.84,0,1,5.16,auto,0
2158.74,7,0,11.33,auto,0
168.83,4,0,16.66,life,0
409.19,0,1,17.52,health,0
2528.55,2,2,6.1,health,0
711.94,8,1,2.53,home,0
4191.34,3,0,5.04,health,0
5847.29,2,0,18.94,health,0
8061.88,3,1,9.52,life,0
1116.66,4,0,8.66,auto,0
916.51,1,0,0.76,auto,0
552.24,5,0,1.49,auto,0
5058.92,1,3,13.54,life,0
6128.97,5,1,12.0,home,0
160.48,2,0,11.72,home,0
13760.97,1,1,2.65,home,0
266.85,0,1,7.37,health,0
3896.75,2,0,16.34,life,0
6173.2,1,2,3.91,health,0
10238.52,2,0,17.71,health,0
6260.34,0,1,2.87,auto,0
8090.58,3,0,3.8,home,0
2073.41,6,0,9.82,health,0
8432.27,2,2,18.93,health,0
417.53,0,0,6.93,home,0
11260.25,2,0,13.34,auto,0
3965.86,1,0,11.98,auto,0
8499.49,6,2,3.42,auto,0
3010.3,4,1,5.34,home,0
5158.2,1,2,18.64,home,0
3736.99,2,1,4.1,life,0
6576.19,5,0,14.05,home,0
425.77,2,2,19.31,auto,0
311.25,3,2,2.83,auto,0
1419.14,2,0,8.28,health,0
869.06,1,1,4.87,home,0
10270.18,5,1,4.82,home,0
1237.27,3,0,2.82,home,0
18620.51,3,0,13.17,auto,1
2054.12,2,1,15.05,auto,0
1005.19,5,1,13.7,auto,0
7796.07,2,1,18.53,auto,0
5375.08,2,0,3.34,home,0
3447.73,2,0,6.74,home,0
4052.49,0,0,7.22,life,0
6350.59,3,0,5.03,health,0
1296.8,5,0,3.27,home,0
28043.16,2,0,9.99,home,0
18403.2,2,1,16.77,home,0
5253.77,4,2,19.11,auto,0
1112.86,5,1,3.02,life,0
5700.74,4,0,16.55,home,0
374.69,2,4,16.58,life,0
155.66,2,0,8.09,life,0
1489.89,2,0,2.65,home,0
3105.28,2,3,19.81,auto,0
10135.1,2,0,13.28,home,0
6494.51,3,2,19.65,home,0
6787.69,5,0,9.93,health,0
2771.22,3,0,8.21,auto,0
2122.74,3,0,5.32,home,0
2318.43,5,2,19.68,life,0
21970.32,4,1,5.44,life,0
204.68,1,0,0.96,auto,0
10088.21,2,2,10.49,health,0
4321.76,1,0,7.85,auto,0
2886.75,5,0,5.6,health,0
6459.61,0,0,12.87,auto,0
3334.17,5,1,7.6,life,0
10334.53,4,1,8.34,home,0
11548.14,3,1,0.95,auto,0
2738.49,3,0,11.99,auto,0
1620.54,3,2,2.88,auto,0
4486.74,1,1,4.67,home,0
12172.78,1,3,14.48,health,0
1182.8,2,0,6.61,health,0
4877.11,3,2,3.68,health,0
4992.39,3,2,11.76,health,0
6604.65,3,0,4.69,life,0
705.33,4,3,5.78,health,0
6290.82,5,2,12.62,auto,0
11986.27,2,1,14.93,health,0
990.32,2,0,14.92,auto,0
1356.05,3,1,9.9,life,0
17770.89,2,0,9.36,auto,0
998.22,4,0,15.86,auto,0
9633.95,5,0,4.26,auto,0
3389.1,4,0,3.47,home,0
1419.98,4,1,13.46,auto,0
10230.03,5,2,8.49,life,0
2946.69,2,1,14.34,auto,0
3616.15,5,0,5.5,auto,0
2225.45,1,2,6.84,auto,0
4494.11,2,1,17.99,auto,0
892.79,3,3,8.72,home,0
2480.35,3,0,12.02,auto,0
17435.79,3,0,2.58,auto,1
1492.93,2,0,3.99,auto,0
5346.29,5,0,1.2,auto,0
1966.62,3,0,8.78,health,0
7424.46,2,2,19.78,home,0
701.33,3,1,17.54,auto,0
17503.05,6,0,12.84,auto,0
3023.75,8,1,17.29,home,0
1346.27,3,2,12.09,auto,0
381.69,0,1,7.69,home,0
930.19,5,1,3.88,life,0
3667.49,3,0,13.23,auto,0
2054.93,4,2,4.26,auto,0
8827.05,3,1,8.64,auto,0
2818.39,2,4,16.6,home,0
1429.85,3,1,3.02,auto,0
4800.49,1,0,3.02,home,0
6134.11,3,3,4.88,life,0
913.86,0,0,11.26,auto,0
917.33,1,0,5.41,auto,0
186.8,3,1,10.31,health,0
6666.65,1,1,6.39,auto,0
5450.31,0,1,10.37,auto,0
3218.27,0,4,5.91,home,0
9294.96,4,0,19.61,auto,0
8190.99,3,1,10.11,health,0
4401.66,4,3,15.0,auto,1
10135.05,7,0,14.16,home,0
1152.36,3,0,10.07,health,0
593.47,1,0,5.16,auto,0
1571.84,3,0,10.46,auto,0
293.91,3,1,13.78,auto,0
3787.57,2,1,9.47,health,0
13791.91,7,0,2.1,health,0
200.69,2,0,0.85,auto,0
651.17,4,0,6.89,health,0
3009.22,3,0,3.43,health,0
13581.04,2,0,18.17,life,0
1900.13,0,2,3.93,auto,0
3538.61,7,1,8.19,health,0
212.31,5,1,14.39,home,0
802.86,5,0,16.4,health,0
21573.76,1,0,9.82,auto,0
16779.02,4,0,4.03,auto,1
24.76,4,3,5.78,health,0
15163.2,2,1,8.67,health,0
5096.05,1,2,7.61,auto,0
10121.67,4,2,7.3,home,0
3032.46,5,0,3.07,auto,0
3624.18,5,2,18.31,auto,0
3355.43,2,1,1.08,auto,0
5496.03,6,1,9.08,auto,0
752.09,3,1,19.62,home,0
152.16,4,1,13.36,auto,0
1840.34,4,2,7.43,auto,0
6098.49,2,2,3.35,life,0
1127.32,10,1,19.3,auto,0
5595.59,4,0,0.77,home,0
17518.15,3,2,13.79,health,0
493.03,0,0,17.66,auto,0
5582.9,2,2,0.99,auto,0
2932.69,2,1,14.64,home,0
10130.16,1,0,19.98,home,0
974.91,4,1,12.97,home,0
5898.45,4,0,8.59,home,0
9104.35,2,1,17.55,life,0
14467.16,3,1,11.31,auto,0
5748.18,6,1,15.11,health,0
3437.56,2,1,11.96,auto,0
4809.67,2,0,1.25,auto,0
10159.16,4,0,4.66,auto,0
4226.95,5,1,2.04,home,0
154.29,2,1,2.58,health,0
13364.53,2,2,0.8,auto,0
5848.29,4,3,8.71,auto,0
5642.99,3,2,3.98,auto,0
1214.66,4,0,17.19,auto,0
5377.68,3,2,15.13,health,0
2503.26,2,1,11.68,health,0
5266.76,5,0,10.04,health,0
563.57,0,1,5.49,home,0
5362.46,4,2,9.76,home,0
37208.61,3,0,13.0,auto,0
247.06,1,1,15.75,home,0
18899.32,4,1,2.09,home,0
2612.03,4,0,14.32,life,0
10230.17,3,1,14.98,life,0
7625.15,0,0,11.4,life,0
4185.28,3,0,4.68,auto,0
6705.63,5,1,11.01,auto,0
10539.85,1,2,10.3,health,0
2588.75,5,1,9.78,health,0
1980.3,2,1,9.48,health,0
5506.98,2,0,2.66,auto,0
8247.29,2,0,4.07,health,0
7183.42,3,4,2.4,home,0
7992.83,5,1,5.23,home,0
2859.81,5,1,5.64,health,0
8514.19,2,2,5.28,auto,0
640.35,3,2,4.61,home,0
3931.68,0,0,14.84,home,0
28.88,4,0,16.46,home,0
1962.15,2,0,6.88,auto,0
2282.17,8,3,6.45,home,0
2522.34,5,0,16.96,home,0
5944.88,4,1,12.67,home,0
2459.68,3,2,6.22,health,0
2977.32,3,1,14.42,auto,0
1356.05,1,1,7.22,health,0
2336.05,1,2,11.94,home,0
1289.13,3,0,19.86,home,0
380.07,4,0,6.38,auto,0
4624.75,2,0,18.65,auto,0
5516.31,2,1,6.75,health,0
4831.22,4,1,11.04,auto,0
3113.39,2,2,9.47,life,0
2388.45,3,2,15.77,auto,0
9951.06,2,1,1.69,life,0
3660.29,1,0,12.73,home,0
3261.77,4,1,15.33,home,0
129.88,3,1,9.71,auto,0
2087.04,2,0,2.55,auto,0
2391.76,4,1,5.27,auto,0
2544.33,2,1,13.75,home,0
4339.56,3,3,17.96,home,0
3813.59,0,1,8.72,health,0
4681.26,4,0,11.43,health,0
7238.37,4,0,4.95,home,0
8382.85,3,1,8.54,auto,0
6331.42,0,1,7.07,auto,0
15563.99,0,1,13.28,health,0
92.0,3,1,19.7,auto,0
1089.4,2,3,16.36,home,0
37.96,3,0,4.25,auto,0
5213.16,2,1,11.76,auto,0
11415.41,6,0,1.8,home,0
1395.15,4,1,5.31,home,0
13088.85,3,0,3.86,home,0
310.8,4,1,7.04,home,0
13623.64,6,0,13.74,auto,0
2166.41,3,1,10.24,auto,0
534.7,0,1,18.69,home,0
3326.41,0,1,4.65,home,0
1483.79,7,1,7.6,auto,0
1676.47,5,0,6.93,home,0
1835.72,2,1,5.1,home,0
8123.42,6,2,19.87,auto,0
3873.54,6,1,8.05,health,0
1864.8,2,3,18.84,home,0
4712.32,4,2,8.11,auto,0
6296.56,2,1,4.48,home,0
1591.56,1,0,2.82,home,0
2668.33,5,1,17.18,life,0
649.89,7,1,1.13,health,0
999.27,0,0,19.31,auto,0
5714.67,2,2,8.65,auto,0
1001.03,0,0,5.32,health,0
3723.92,4,1,12.54,health,0
6172.95,5,0,3.09,auto,0
565.15,2,0,1.91,auto,0
4188.69,1,0,16.64,health,0
1482.35,3,1,8.78,health,0
16474.31,2,0,10.61,auto,0
3303.84,3,1,3.95,home,0
8199.29,3,2,1.7,auto,0
3995.06,5,1,7.67,auto,0
221.92,4,1,10.37,auto,0
5014.03,2,1,15.43,home,0
15121.0,7,0,10.27,health,0
4601.64,3,0,15.76,home,0
8551.51,3,1,2.75,auto,0
10779.73,0,0,1.75,health,0
1294.37,6,2,3.6,auto,0
1191.57,3,0,15.55,health,0
4720.64,0,1,15.31,health,0
2646.89,6,3,3.26,auto,1
9158.57,3,0,1.1,auto,0
11514.08,6,0,13.86,health,0
2180.3,1,2,17.18,home,0
1351.64,5,2,15.21,auto,0
7582.6,4,0,4.45,health,0
1606.58,4,0,11.88,auto,0
8647.14,4,2,15.27,auto,0
2755.97,1,0,5.49,home,0
5506.33,1,0,10.79,home,0
502.06,9,1,6.63,auto,0
4888.96,6,1,4.9,auto,0
3005.28,4,1,19.41,home,0
4416.8,2,2,18.3,home,0
919.7,3,1,9.19,health,0
6675.61,4,1,3.17,home,0
9931.47,4,2,14.69,home,0
1221.45,2,1,5.49,auto,0
503.05,1,1,3.79,health,0
119.61,4,1,7.94,auto,0
5135.71,1,0,10.83,home,0
4670.92,4,0,2.4,life,0
3955.98,5,1,11.65,health,0
1319.48,2,0,0.8,home,0
2478.91,4,0,17.89,health,0
4512.88,2,0,18.45,life,0
3433.51,3,0,14.79,health,0
22025.67,4,1,9.6,home,0
733.46,4,1,5.47,home,0
5939.59,3,1,15.01,auto,0
2590.25,5,0,18.67,home,0
2794.83,3,1,3.59,auto,0
6322.11,2,0,9.58,home,0
5895.36,1,1,6.65,home,0
23696.93,4,1,7.46,auto,0
687.09,2,0,8.41,auto,0
549.69,4,0,19.06,auto,0
6442.91,5,1,5.54,auto,0
4318.34,0,0,10.11,home,0
1602.13,2,1,19.05,life,0
413.75,2,1,9.78,health,0
447.75,2,1,17.34,auto,0
11230.59,1,1,1.65,auto,0
1065.15,2,1,19.08,home,0
1953.16,2,2,4.16,home,0
1285.16,7,1,19.61,home,0
2192.5,2,0,3.92,auto,0
359.76,3,0,9.17,auto,0
3660.06,1,2,6.52,auto,0
350.03,4,0,8.95,home,0
8056.11,2,0,5.39,health,0
1330.99,3,1,19.32,health,0
3882.77,5,1,6.46,home,0
10604.61,3,0,13.24,health,0
5261.66,3,0,3.18,life,0
3806.68,3,1,16.58,health,0
1960.28,4,1,11.08,health,0
2024.84,6,1,19.6,life,0
5535.55,5,2,8.76,auto,0
25697.48,1,0,4.31,auto,1
5421.17,4,1,7.25,life,0
4079.78,1,1,14.87,home,0
6558.73,3,1,13.35,health,0
3129.36,4,0,15.68,health,0
